,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank,weighted_degree_centrality,weighted_pagerank,composite_centrality,node_type,weight,label,degree,repo_id,repo_name,in_lcc
R_470954148,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_470954148,1,470954148,,True
R_219505677,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_219505677,1,219505677,,True
R_137255598,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_137255598,1,137255598,,True
R_28554304,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_28554304,1,28554304,,True
R_587871835,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_587871835,1,587871835,,True
R_518164214,0.0013818516812528789,0.3012902311073302,0.0014909162532476888,0.033679679451090475,0.00011390075200543419,0.0013818516812528789,0.00011390075200543419,0.14491569015322484,Repo,1,R_518164214,9,518164214,,True
R_554034901,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_554034901,1,554034901,,True
R_90137956,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,4.621459851212795e-05,0.00030707815138952864,4.621459851212795e-05,0.11116713634734186,Repo,1,R_90137956,1,90137956,,True
R_34139230,0.00046061722708429296,0.28641387366340193,0.00010951358181555829,0.020801713494682173,8.721650429554922e-05,0.0009212344541685859,8.721650429554922e-05,0.12746267695506439,Repo,1,R_34139230,3,34139230,,True
R_334134772,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,4.621459851212795e-05,0.00030707815138952864,4.621459851212795e-05,0.11116713634734186,Repo,1,R_334134772,1,334134772,,True
R_6358188,0.01811761093198219,0.3250395146076582,0.013515622027599669,0.08486902432719905,0.0029940370199394236,0.06018731767234761,0.0029940370199394236,0.27194627311489933,Repo,1,R_6358188,120,6358188,apache/druid,True
R_52804750,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_52804750,1,52804750,,True
R_123590537,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,9.241420397482528e-05,0.0009212344541685859,9.241420397482528e-05,0.11166643976563032,Repo,1,R_123590537,1,123590537,,True
R_50387722,0.00030707815138952864,0.2741581731389498,0.0,0.013919558269708615,3.714974540415989e-05,0.00030707815138952864,3.714974540415989e-05,0.11763275961084754,Repo,1,R_50387722,2,50387722,,True
R_682705890,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_682705890,1,682705890,,True
R_572972102,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_572972102,1,572972102,,True
R_411125610,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,9.241420397482528e-05,0.0009212344541685859,9.241420397482528e-05,0.11166643976563032,Repo,1,R_411125610,1,411125610,,True
R_666811174,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_666811174,1,666811174,,True
R_503138887,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,4.621459851212795e-05,0.00030707815138952864,4.621459851212795e-05,0.11116713634734186,Repo,1,R_503138887,1,503138887,,True
R_55205848,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_55205848,1,55205848,,True
R_684104164,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_684104164,1,684104164,,True
R_383482440,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_383482440,1,383482440,,True
R_734972901,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_734972901,1,734972901,,True
R_639046841,0.00030707815138952864,0.26721716896508363,0.0,0.01161298462496381,5.751641778263071e-05,0.00046061722708429296,5.751641778263071e-05,0.11378747028458112,Repo,1,R_639046841,2,639046841,,True
R_637814534,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_637814534,1,637814534,,True
